,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
335,25-0000,"Education, Training, and Library Occupations",major,8636430,0.3,26.21,54520,0.5,10.49,15.3,23.08,32.42,44.66,21820,31830,48000,67430,92890,,,2016
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1902970,0.6,28.07,58390,0.5,10.2,14.69,22.69,34.33,49.69,21210,30560,47190,71410,103360,,,2016
493,29-0000,Healthcare Practitioners and Technical Occupations,major,8318500,0.4,38.06,79160,0.2,15.59,21.8,30.49,43.83,64.87,32430,45330,63420,91180,134930,,,2016
585,31-0000,Healthcare Support Occupations,major,4043480,0.4,14.65,30470,0.2,9.51,10.91,13.42,17.11,21.93,19780,22690,27910,35580,45620,,,2016
611,33-0000,Protective Service Occupations,major,3386360,0.4,22.03,45810,0.7,9.74,12.32,18.59,28.7,39.42,20260,25630,38660,59700,81980,,,2016
652,35-0000,Food Preparation and Serving Related Occupations,major,12981720,0.1,11.47,23850,0.2,8.28,8.94,10.01,12.34,16.92,17220,18600,20810,25680,35200,,,2016
686,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4426090,0.3,13.47,28010,0.2,8.71,9.78,11.87,15.66,20.8,18120,20340,24700,32570,43260,,,2016
704,39-0000,Personal Care and Service Occupations,major,4514960,0.4,12.74,26510,0.2,8.45,9.29,10.92,14.02,19.47,17590,19320,22710,29170,40490,,,2016
766,41-0000,Sales and Related Occupations,major,14536530,0.2,19.5,40560,0.2,8.72,9.72,12.78,22.23,37.65,18150,20210,26590,46230,78300,,,2016
809,43-0000,Office and Administrative Support Occupations,major,22026080,0.2,17.91,37260,0.1,9.95,12.39,16.37,21.9,28.46,20700,25760,34050,45550,59190,,,2016
922,45-0000,"Farming, Fishing, and Forestry Occupations",major,463640,1.2,13.37,27810,0.5,9.32,10.01,11.3,14.87,20.6,19380,20810,23510,30930,42860,,,2016
949,47-0000,Construction and Extraction Occupations,major,5585420,0.3,23.51,48900,0.2,12.44,15.68,20.96,29.17,38.85,25880,32610,43610,60670,80820,,,2016
1053,49-0000,"Installation, Maintenance, and Repair Occupations",major,5456640,0.2,22.45,46690,0.1,11.63,15.37,20.89,28.24,36.11,24180,31970,43440,58740,75110,,,2016
1129,51-0000,Production Occupations,major,9105650,0.3,17.88,37190,0.2,9.96,11.98,15.93,21.81,28.99,20720,24920,33130,45360,60300,,,2016
1297,53-0000,Transportation and Material Moving Occupations,major,9731790,0.3,17.34,36070,0.4,9.21,10.91,14.78,20.76,28.5,19150,22680,30730,43170,59270,,,2016
1,11-0000,Management Occupations,major,7280330,0.2,57.65,119910,0.1,23.19,33.6,49.32,71.83,#,48220,69880,102590,149410,#,,,2017
70,13-0000,Business and Financial Operations Occupations,major,7472750,0.2,36.7,76330,0.2,18.12,24.25,32.55,44.22,59.13,37690,50450,67710,91970,123000,,,2017
126,15-0000,Computer and Mathematical Occupations,major,4261460,0.5,43.18,89810,0.4,20.95,29.02,40.66,54.87,69.63,43580,60360,84560,114130,144830,,,2017
158,17-0000,Architecture and Engineering Occupations,major,2516780,0.6,41.44,86190,0.3,20.87,28.21,38.07,51.06,65.93,43420,58690,79180,106200,137130,,,2017
218,19-0000,"Life, Physical, and Social Science Occupations",major,1148300,0.7,35.76,74370,0.4,16.38,22.17,31.01,44.64,60.11,34070,46110,64510,92850,125030,,,2017
289,21-0000,Community and Social Service Occupations,major,2096740,0.4,23.1,48050,0.4,12.35,15.89,21.08,28.51,37.19,25690,33050,43840,59300,77360,,,2017
315,23-0000,Legal Occupations,major,1095770,0.4,51.62,107370,0.6,17.77,25.17,38.5,67.39,#,36970,52340,80080,140170,#,,,2017
331,25-0000,"Education, Training, and Library Occupations",major,8727710,0.3,26.67,55470,0.5,10.71,15.42,23.43,33.09,45.62,22270,32070,48740,68830,94900,,,2017
427,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1925140,0.5,28.34,58950,0.4,10.6,15.03,23.19,34.94,49.91,22040,31260,48230,72680,103810,,,2017
489,29-0000,Healthcare Practitioners and Technical Occupations,major,8506740,0.3,38.83,80760,0.2,15.86,22.28,31.14,44.79,66.29,32990,46340,64770,93160,137890,,,2017
580,31-0000,Healthcare Support Occupations,major,4113410,0.4,15.05,31310,0.2,9.84,11.28,13.8,17.53,22.44,20470,23450,28710,36460,46680,,,2017
606,33-0000,Protective Service Occupations,major,3408680,0.4,22.69,47190,0.6,10.13,12.84,19.01,29.37,40.61,21070,26700,39550,61080,84470,,,2017
647,35-0000,Food Preparation and Serving Related Occupations,major,13193090,0.1,11.88,24710,0.2,8.38,9.15,10.53,12.96,17.48,17440,19040,21910,26960,36350,,,2017
681,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4424440,0.3,13.91,28930,0.2,8.98,10.23,12.32,16.17,21.43,18680,21270,25620,33640,44570,,,2017
699,39-0000,Personal Care and Service Occupations,major,5159100,0.5,13.11,27270,0.2,8.7,9.74,11.35,14.27,19.79,18100,20270,23610,29680,41150,,,2017
759,41-0000,Sales and Related Occupations,major,14522580,0.2,19.56,40680,0.2,8.8,10.06,12.99,22.3,37.42,18310,20920,27020,46380,77820,,,2017
802,43-0000,Office and Administrative Support Occupations,major,21965480,0.1,18.24,37950,0.1,10.24,12.68,16.7,22.24,28.77,21300,26380,34740,46270,59850,,,2017
915,45-0000,"Farming, Fishing, and Forestry Occupations",major,470920,1.2,13.87,28840,0.5,9.85,10.46,11.73,15.42,21.15,20480,21760,24390,32060,43990,,,2017
942,47-0000,Construction and Extraction Occupations,major,5728460,0.3,24.01,49930,0.2,12.76,16.06,21.51,29.65,39.46,26540,33410,44730,61680,82080,,,2017
1045,49-0000,"Installation, Maintenance, and Repair Occupations",major,5528390,0.3,23.02,47870,0.1,12.08,15.78,21.4,28.83,36.89,25120,32830,44520,59970,76720,,,2017
1121,51-0000,Production Occupations,major,9024560,0.3,18.3,38070,0.2,10.27,12.36,16.34,22.26,29.46,21360,25720,33990,46290,61280,,,2017
1287,53-0000,Transportation and Material Moving Occupations,major,9978390,0.3,17.82,37070,0.4,9.55,11.36,15.19,21.31,29.05,19860,23630,31600,44310,60420,,,2017
1,11-0000,Management Occupations,major,7616650,0.2,58.44,121560,0.1,23.68,34.08,50.11,72.93,#,49260,70880,104240,151700,#,,,2018
70,13-0000,Business and Financial Operations Occupations,major,7721300,0.3,36.98,76910,0.2,18.33,24.53,32.86,44.65,59.44,38130,51020,68350,92870,123640,,,2018
126,15-0000,Computer and Mathematical Occupations,major,4384300,0.5,44.01,91530,0.4,21.41,29.64,41.51,55.98,71.12,44530,61640,86340,116440,147920,,,2018
158,17-0000,Architecture and Engineering Occupations,major,2556220,0.5,42.01,87370,0.3,21.33,28.72,38.55,51.81,66.98,44360,59750,80170,107760,139320,,,2018
218,19-0000,"Life, Physical, and Social Science Occupations",major,1171910,0.7,36.62,76160,0.4,16.85,22.74,31.77,45.77,61.22,35050,47310,66070,95210,127340,,,2018
289,21-0000,Community and Social Service Occupations,major,2171820,0.4,23.69,49280,0.3,12.75,16.3,21.62,29.04,37.86,26520,33910,44960,60390,78740,,,2018
315,23-0000,Legal Occupations,major,1127900,0.4,52.25,108690,0.6,18.04,25.47,38.85,68.12,#,37510,52970,80810,141700,#,,,2018
331,25-0000,"Education, Training, and Library Occupations",major,8779780,0.4,27.22,56620,0.5,10.99,15.65,23.89,33.91,46.67,22860,32550,49700,70530,97080,,,2018
427,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1951170,0.5,28.74,59780,0.5,10.99,15.39,23.7,35.43,50.36,22850,32010,49290,73690,104740,,,2018
